Артикул;Назва;Колір;Категорія;Опис;Стиль;Елементи обробки та декору;Силует;Довжина ;Рукав;Матеріал;Розмір;Ціна;Зображення;Колекція;Група;Тема
0779/48/1367;Сукня “Мрія” темно-синя;синій;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;48;2590;0779-40-1367.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/50/1367;Сукня “Мрія” темно-синя;синій;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;50;2590;0779-40-1367.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/40/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;40;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/42/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;42;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/44/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;44;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/46/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;46;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/48/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;48;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/50/1370;Сукня “Мрія” блакитна;блакитний;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;50;2590;0779-1370.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/40/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;40;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/42/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;42;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/44/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;44;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/46/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;46;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/48/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;48;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/50/330;Сукня “Мрія” сіра;сірий ;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;50;2590;0779-330.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/40/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;40;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/42/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;42;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/44/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;44;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/46/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;46;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/48/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;48;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0779/50/898;Сукня “Мрія” зелена;зелений;Одяг/Для жінок/Сукні;Про таку сукню може мріяти кожна жінка або дівчина. Виконана в стилі фолк, з елементами вишивки за народними українськими мотивами. Силует прилеглий. По талії є підріз та пасок, який зав`язується бантом. Рукави та пілочки оздоблені двокольоровою вишивкою. Спідниця довга зі складами спереду і ззаду. Довжина рукава: 57 см. Довжина сукні: 126 см.;Фолк/Етно;Вишивка/Рішельє;Прилеглий;Довга;Довгий;100% льон;50;2590;0779-898.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/42/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/46/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;46;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/48/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;48;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/50/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;50;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/42/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/46/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;46;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/48/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;48;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/50/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;50;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/42/753;Сукня “Лілі” бірюзова;бірюзовий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-753.jpg,0791-753-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/753;Сукня “Лілі” бірюзова;бірюзовий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-753.jpg,0791-753-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/46/753;Сукня “Лілі” бірюзова;бірюзовий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;46;2200;0791-753.jpg,0791-753-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/48/753;Сукня “Лілі” бірюзова;бірюзовий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;48;2200;0791-753.jpg,0791-753-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/50/753;Сукня “Лілі” бірюзова;бірюзовий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;50;2200;0791-753.jpg,0791-753-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/42/999;Сукня “Лілі” темно-синя;синій;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-999.jpg,0791-999-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/999;Сукня “Лілі” темно-синя;синій;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-999.jpg,0791-999-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
