Артикул;Назва;Колір;Категорія;Опис;Стиль;Елементи обробки та декору;Силует;Довжина ;Рукав;Матеріал;Розмір;Ціна;Зображення;Колекція;Група;Тема
0791/42/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/46/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;46;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/48/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;48;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/50/101;Сукня “Лілі” біла;білий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;50;2200;0791-101.jpg,0791.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/42/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;42;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/44/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;44;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/46/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;46;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/48/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;48;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
0791/50/403;Сукня “Лілі” коричнева;коричневий;Одяг/Для жінок/Сукні;Нарядна довга сукня в стилі фолк. По рукавах та по переду розташована вишивка квітів, яка поєднується з мереживом. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади спереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;Фолк/Етно;Вишивка/Рішельє,Мереживо/Тасьма;Розширений до низу;Довга;Довгий;100% льон;50;2200;0791-403.jpg,0791-403-2.jpg;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс
