Артикул;Название;Категория;Описание;Состав;Цена;Изображение;Основной цвет;Коллекция;Группа;Тема
0731/42/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/44/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/46/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/48/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/50/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/52/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/54/101;Сукня “Оксамит” біла;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-101.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/42/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/44/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/46/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/48/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/50/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/52/443;Сукня “Оксамит” темно-синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-443.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/42/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;********;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/44/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/48/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/50/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/52/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/54/61;Сукня “Оксамит” сіра;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-61.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/42/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/44/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/46/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/48/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/50/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/52/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/54/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0731/56/858;Сукня “Оксамит” салатова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів маку. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0731-858.JPG;;Літо 2016;Вишитий одяг;Маки,Симфонія квітів
0703/46/344;Сукня “Кружевніца” розова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-344.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/54/344;Сукня “Кружевніца” розова;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-344.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/44/418;Сукня “Кружевніца” зелена;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-418.JPG;********;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/46/418;Сукня “Кружевніца” зелена;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-418.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/48/418;Сукня “Кружевніца” зелена;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-418.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/50/418;Сукня “Кружевніца” зелена;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-418.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/52/418;Сукня “Кружевніца” зелена;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-418.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/50/443;Сукня “Кружевніца” синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-443.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0703/54/443;Сукня “Кружевніца” синя;Одяг/Для жінок/Сукні;Офісна сукня класичного стилю, прямого силуету. В бокових швах - внутрішні кишені. По пілочці розташована застібка на планку. З кожного боку від планки розміщені по три ряди защіпів. Низ виробу оздоблен вишивкою квітів. Низ рукава оброблен манжетою з застібкою на петлю та ґудзик.  Горловина оброблена бейкою. Рукав реглан, довжиною ¾. Довжина виробу в розмірах 84-100 - 89 см., 104-108 - 93 см.;Льон 100%;;0703-443.JPG;;Літо 2016;Вишитий одяг;Квіти,Міський романс
0667/40/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-758.JPG;*****;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/44/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-758.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/46/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;;0667-758.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/48/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-758.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/50/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-758.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/52/758;Сукня “Фієрія” салатова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-758.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/44/921;Сукня “Фієрія” бірюзова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-921.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/46/921;Сукня “Фієрія” бірюзова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;;0667-921.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/48/921;Сукня “Фієрія” бірюзова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-921.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/50/921;Сукня “Фієрія” бірюзова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-921.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/52/921;Сукня “Фієрія” бірюзова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-921.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/40/984;Сукня “Фієрія” коралова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-984.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/44/984;Сукня “Фієрія” коралова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-984.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/46/984;Сукня “Фієрія” коралова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;;0667-984.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
0667/48/984;Сукня “Фієрія” коралова;Одяг/Для жінок/Сукні;Романтична сукня прилеглого силуету з розкішною широкою спідницею, низ якої оздоблений фантазійною вишивкою.Горловина кругла. Пройма частково оброблена маленькими рукавами-крильцями.Застібка на блискавку, яка розташована в лівому боковому шві сукні. Пасок складається з двох деталей з основної та оздоблювальної тканини. Довжина сукні 114см ;Льон 100%;1560;0667-984.JPG;;Літо 2016;Вишитий одяг;Квіти,Урочиста подія,Випускний вечір
