Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-18/300/000/76;Комплект подарочный “Калина” серый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Калина” серый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;490;P1200635.JPG;;;;
42-18/300/101/76;Комплект подарочный “Калина” белый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Калина” белый;100% лен;Столешня 60х110 см - 1 шт., серветки 35х35 см - 4 шт.;490;P1200636.JPG;;;;
12-10/202/000/18;Дорожка “Бархатцы” синяя;Домашний текстиль/Для кухни/Полотенца;Дорожка “Бархатцы” синяя;100% лен;48х140 см;390;P1200639.JPG;;;;
82-04/266/000/76;Полотенце коллекция “Гурман” Ужин;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Гурман” Ужин;100% лен;45х75 см;119;P1200640.JPG;;;;
42-10/246/857/76;Комплект подарочный “Созвездие” бордовый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” бордовый;100% лен;Столешня 50х140 см - 1 шт., серветки 35х35 см - 4 шт.;490;42-10-246-857.jpg;;;;
42-10/246/884/76;Комплект подарочный “Созвездие” оливковый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” оливковый;100% лен;Столешня 50х140 см - 1 шт., серветки 35х35 см - 4 шт.;490;42-10-246-884.jpg;;;;
42-10/246/957/76;Комплект подарочный “Созвездие” кофейный;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” кофейный;100% лен;Столешня 50х140 см - 1 шт., серветки 35х35 см - 4 шт.;490;42-10-246-957.jpg;;;;
40-00/246/000/76;Комплект подарочный “Созвездие” кофейный;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” кофейный;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-246-000.jpg;;;;
40-00/246/857/76;Комплект подарочный “Созвездие” бордовый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” бордовый;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-246-857.jpg;;;;
40-00/246/884/76;Комплект подарочный “Созвездие” оливковый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Созвездие” оливковый;100% лен;Цукерниця 35х35 см - 1 шт., серветки 35х35 см – 4 шт. ;369;40-00-246-884.jpg;;;;
32-07/246/584/76;Сет “Созвездие” молочный с кофейной вышивкой;Домашний текстиль/Для кухни/Салфетки;Сет “Созвездие” молочный с кофейной вышивкой;100% лен;30х40 см;89;32-07-246-584.jpg;;;;
32-07/246/884/76;Сет “Созвездие” молочный с оливковым вышивкой;Домашний текстиль/Для кухни/Салфетки;Сет “Созвездие” молочный с оливковым вышивкой;100% лен;30х40 см;89;32-07-246-884.jpg;;;;
32-07/246/957/76;Сет “Созвездие” молочный с кофейной вышивкой;Домашний текстиль/Для кухни/Салфетки;Сет “Созвездие” молочный с кофейной вышивкой;100% лен;30х40 см;89;32-07-246-957.jpg;;;;
12-10/314/743/76;Дорожка “Зимняя сказка” серая;Домашний текстиль/Для кухни/Скатерти;Дорожка “Зимняя сказка” серая;100% лен;48х140 см;359;12-10-314-743.jpg;;;;
12-10/314/861/76;Дорожка “Зимняя сказка” красная;Домашний текстиль/Для кухни/Скатерти;Дорожка “Зимняя сказка” красная;100% лен;48х140 см;359;12-10-314-861.jpg;;;;
12-10/314/880/76;Дорожка “Зимняя сказка” синяя;Домашний текстиль/Для кухни/Скатерти;Дорожка “Зимняя сказка” синяя;100% лен;48х140 см;359;12-10-314-880.jpg;;;;
113-63/151/000/76;Плед "Чарли" льняной в ассортименте;Домашний текстиль/Интерьерный текстиль/Покрывала;Плед "Чарли" льняной в ассортименте;100% лен;110х190 см;490;Bpled-Charli.jpg;;;;
23-24/108/001/99;Скатерть жаккардовая “Греция” ;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая “Греция” ;100% лен;155х230 см;590;23-21-108-001-99.JPG;;;;
23-30/108/001/99;Скатерть жаккардовая “Греция” ;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая “Греция” ;100% лен;155х290 см;690;23-21-108-001-99.JPG;;;;
82-10/341/330/76;Полотенце “Согласие” серый;Домашний текстиль/Для кухни/Полотенца;Полотенце “Согласие” серый;100% лен;43х145 см;439;82-10-341-330-76.jpg;;;;
82-05/341/000/76;Полотенце “Согласие” белый;Домашний текстиль/Для кухни/Полотенца;Полотенце “Согласие” белый;100% лен;35х110 см;189;82-05-341-000-76.jpg;;;;
82-34/341/000/76;Полотенце под каравай;Домашний текстиль/Для кухни/Полотенца;Полотенце под каравай;100% лен;43х220 см;439;82-24-341-000-76.jpg;;;;
85-07/341/02к/76;Полотенце “Согласие” белый;Домашний текстиль/Для кухни/Полотенца;Полотенце “Согласие” белый;100% лен;35х55 см;129;85-07-341-02r-76.jpg;;;;
42-42/398/101/76;Комплект подарочный “Лилия” белый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лилия” белый;100% лен;140х250 см, 6 серв. 30Х40 см;1490;42-42-398-101.jpg;;;;
42-42/398/743/76;Комплект подарочный “Лилия” серый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лилия” серый;100% лен;140х250 см, 6 серв. 30Х40 см;1490;42-42-398-743.jpg;;;;
42-42/398/957/76;Комплект подарочный “Лилия” кофейный;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лилия” кофейный;100% лен;140х250 см, 6 серв. 30Х40 см;1490;42-42-398-957.jpg;;;;
42-42/299/372/76;Комплект подарочный “Сакура” зеленый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Сакура” зеленый;100% лен;140х220 см, 120х120 см, 6 серв. 35Х35 см;1290;42-42-299-372.jpg;;;;
42-52/299/372/76;Комплект подарочный “Сакура” зеленый;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Сакура” зеленый;100% лен;140*280, 120*120, 8-35*35;1490;42-42-299-372.jpg;;;;
82-10/415/330/76;Полотенце “Дерево счастья – 2” серый с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Дерево счастья – 2” серый с вышивкой;100% лен;43х145 см;380;82-10-415-330-76 .jpg;;;;
85-10/412/330/76;Полотенце “Дерево счастье ” серый с вышивкой и кружевом;Домашний текстиль/Для кухни/Полотенца;Полотенце “Дерево счастье ” серый с вышивкой и кружевом;100% лен;43х150 см;470;85-10-412-330-76.jpg;;;;
82-06/415/000/76;Полотенце “Дерево счастья – 2” белый с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Дерево счастья – 2” белый с вышивкой;100% лен;43х220 см;380;82-06-415-000-76.jpg;;;;
85-06/412/000/76;Полотенце “Дерево счастья ” белый с вышивкой и кружевом;Домашний текстиль/Для кухни/Полотенца;Полотенце “Дерево счастья ” белый с вышивкой и кружевом;100% лен;43х220 см;450;85-06-412-000-76.jpg;;;;
10-00/291/000/76;Фартук “Цветы. Васильки” с вышивкой;Домашний текстиль/Для кухни/Фартуки;Фартук “Цветы. Васильки” с вышивкой;100% лен;;249;10-00-291-000-76.jpg;;;;
10-00/290/000/76;Фартук “Цветы. Маки” с вышивкой;Домашний текстиль/Для кухни/Фартуки;Фартук “Цветы. Маки” с вышивкой;100% лен;;249;10-00-290-000-76.jpg;;;;
10-00/384/000/76;Фартук “Цветы. Подсолнухи” с вышивкой;Домашний текстиль/Для кухни/Фартуки;Фартук “Цветы. Подсолнухи” с вышивкой;100% лен;;249;10-00-384-000-76.jpg;;;;
82-04/290/000/76;Полотенце “Цветы. Маки” с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Цветы. Маки” с вышивкой;100% лен;45х65 см;129;82-04-290-000-76.jpg;;;;
82-04/291/000/76;Полотенце “Цветы. Васильки” с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Цветы. Васильки” с вышивкой;100% лен;45х65 см;129;82-04-291-000-76.jpg;;;;
82-04/384/000/76;Полотенце “Цветы. Подсолнухи” с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Цветы. Подсолнухи” с вышивкой;100% лен;45х65 см;129;82-04-384-76.jpg;;;;
82-17/392/000/76;Полотенце “Котик” с вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Котик” с вышивкой;100% лен;36х60 см;99;82-17-392-000-76.jpg;;;;
10-00/007/000/76;Фартук “Собачка” ;Домашний текстиль/Для кухни/Фартуки;Фартук “Собачка” ;100% лен;36х60 см;249;10-00-007-000-76.jpg;;;;
42-42/425/511/76;Комплект подарочный “Лувр” бордо, вышивка в четырех углах и на салфетках;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лувр” бордо, вышивка в четырех углах и на салфетках;100% лен;140х220 см, 6 серв. 35Х35 см;1190;42-42-425-511-76.jpg;;;;
42-52/425/511/76;Комплект подарочный “Лувр” бордо, вышивка в четырех углах и на салфетках;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лувр” бордо, вышивка в четырех углах и на салфетках;100% лен;140х280 см, 8 серв. 35Х35 см;1390;42-42-425-511-76.jpg;;;;
42-18/425/511/76;Комплект подарочный “Лувр” бордо, вышивка на двух сторонах и на салфетках;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лувр” бордо, вышивка на двух сторонах и на салфетках;100% лен;60х110 см, 4 серв. 35Х35 см;490;42-18-425-511-76.jpg;;;;
42-18/425/372/76;Комплект подарочный “Лувр” зеленый, вышивка на двух сторонах и на салфетках;Домашний текстиль/Для кухни/Комплекты;Комплект подарочный “Лувр” зеленый, вышивка на двух сторонах и на салфетках;100% лен;60х110 см, 4 серв. 35Х35 см;490;42-18-425-372-76.jpg;;;;
82-04/419/000/76;Полотенце коллекция “Домашние растения” Кактусы;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Домашние растения” Кактусы;100% лен;45х65 см;129;82-04-419-000-76.jpg;;;;
82-04/421/000/76;Полотенце коллекция “Домашние растения” Фикусы;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Домашние растения” Фикусы;100% лен;45х65 см;129;82-04-421-000-76.jpg;;;;
23-29/023/133/76;Скатерть жаккардовая “Ульяна” серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая “Ульяна” серая;100% лен;110х145 см;450;23-29-023-133-76.jpg;;;;
23-24/023/133/76;Скатерть жаккардовая “Ульяна” серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая “Ульяна” серая;100% лен;145х215 см;850;23-29-023-133-76.jpg;;;;
23-31/023/133/76;Скатерть жаккардовая “Ульяна” серая;Домашний текстиль/Для кухни/Скатерти;Скатерть жаккардовая “Ульяна” серая;100% лен;145х285 см;1090;23-29-023-133-76.jpg;;;;
83-04/023/133/76;Полотенце жаккардовое "Ульяна" серый;Домашний текстиль/Для кухни/Полотенца;Полотенце жаккардовое "Ульяна" серый;100% лен;45х70 см;99;83-04-023-133-76.jpg;;;;
82-04/390/016/76;Полотенце с вышивкой "Франческа" светло-розовый;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Франческа" светло-розовый;100% лен;45*70 см;129;82-04-390-016-76.jpg;;;;
82-04/390/584/76;Полотенце с вышивкой "Франческа" бежевый;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Франческа" бежевый;100% лен;45*70 см;129;82-04-390-584-76.jpg;;;;
10-00/390/061/76;Фартук с вышивкой "Франческа" серый;Домашний текстиль/Для кухни/Фартуки;Фартук с вышивкой "Франческа" серый;100% лен;;299;10-00-390-0617.jpg;;;;
10-00/390/884/76;Фартук с вышивкой "Франческа" оливковый;Домашний текстиль/Для кухни/Фартуки;Фартук с вышивкой "Франческа" оливковый;100% лен;;299;10-00-390-884-76.jpg;;;;
82-04/251/016/76;Полотенце с вышивкой "Дерева" светло-розовый;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Дерева" светло-розовый;100% лен;45*70 см;149;82-04-251-016-76.jpg;;;;
82-04/251/1305/76;Полотенце с вышивкой "Дерева" серый;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Дерева" серый;100% лен;45*70 см;149;82-04-251-1305-76.jpg;;;;
82-04/251/1354/76;Полотенце с вышивкой "Дерева" оранж;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Дерева" оранж;100% лен;45*70 см;149;82-04-251-1354-76.jpg;;;;
82-04/251/884/76;Полотенце с вышивкой "Дерева" оливковый;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Дерева" оливковый;100% лен;45*70 см;149;82-04-251-884-76.jpg;;;;
10-04/251/1097/76;Фартук с вышивкой "Дерева" бирюзовый;Домашний текстиль/Для кухни/Фартуки;Фартук с вышивкой "Дерева" бирюзовый;100% лен;;340;10-00-251-1097-76.jpg,10-00-251-1097-1-76.jpg;;;;
10-04/251/930/76;Фартук с вышивкой "Дерева" коричневый;Домашний текстиль/Для кухни/Фартуки;Фартук с вышивкой "Дерева" коричневый;100% лен;;340;10-00-251-930-76.jpg,10-00-251-930-1-76.jpg;;;;
82-04/425/000/76;Полотенце коллекция “Наслаждение” Лимон;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Наслаждение” Лимон;100% лен;45*65 см;129;82-04-425-000-76.jpg;;;;
82-04/426/000/76;Полотенце коллекция “Наслаждение” Гранат;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Наслаждение” Гранат;100% лен;45*65 см;129;82-04-426-000-76.jpg;;;;
82-04/427/000/76;Полотенце коллекция “Наслаждение” Виноград;Домашний текстиль/Для кухни/Полотенца;Полотенце коллекция “Наслаждение” Виноград;100% лен;45*65 см;129;82-04-427-000-76.jpg;;;;
82-24/422/237/76;Полотенце “Цветочный” с красной вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Цветочный” с красной вышивкой;100% лен;35*210 см;459;82-24-422-237-76.jpg;;;;
82-24/422/359/76;Полотенце “Цветочный” с синей вышивкой;Домашний текстиль/Для кухни/Полотенца;Полотенце “Цветочный” с синей вышивкой;100% лен;35*210 см;459;82-24-422-359-76.jpg;;;;
82-17/423/000/76;Полотенце с вышивкой "Куры" ;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Куры" ;100% лен;36*60 см;99;82-17-423-000-76.jpg;;;;
82-17/424/000/76;Полотенце с вышивкой "Гуси" ;Домашний текстиль/Для кухни/Полотенца;Полотенце с вышивкой "Гуси" ;100% лен;36*60 см;99;82-17-424-000-76.jpg;;;;
12-10//250/101/76;Дорожка с вышивкой “Рождественская звезда” белая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Рождественская звезда” белая;100% лен;48*140 см;390;12-10-250-101-76.jpg;;;;
12-10//250/382/76;Дорожка с вышивкой “Рождественская звезда” синяя;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Рождественская звезда” синяя;100% лен;48*140 см;390;12-10-250-382-76.jpg;;;;
12-10//250/534/76;Дорожка с вышивкой “Рождественская звезда” зеленая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Рождественская звезда” зеленая;100% лен;48*140 см;390;12-10-250-534-76.jpg;;;;
22-32/252/442/76;Столешница с красной вышивкой “Игрушка”;Домашний текстиль/Для кухни/Скатерти;Столешница с красной вышивкой “Игрушка”;100% лен;100*100 см;279;22-32-252-44276.jpg;;;;
22-32/252/880/76;Столешница с синей вышивкой “Игрушка”;Домашний текстиль/Для кухни/Скатерти;Столешница с синей вышивкой “Игрушка”;100% лен;100*100 см;279;22-32-252-880-76.jpg;;;;
22-32/253/000/76;Столешница с вышивкой “Снегири”;Домашний текстиль/Для кухни/Скатерти;Столешница с вышивкой “Снегири”;100% лен;100*100 см;279;22-32-253-000-76.jpg;;;;
42-31/255/000/18;Комплект столовый с вышивкой "Роза" белый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" белый;100% лен;Скатертина 140*140 см- 1шт., серветки 35*35 см- 4 шт.;990;42-31-255-000-18.jpg;;;;
42-31/255/010/03;Комплект столовый с вышивкой "Роза" серый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" серый;100% лен;Скатертина 140*140 см- 1шт., серветки 35*35 см- 4 шт.;990;42-31-255-010-03.jpg;;;;
42-42/255/000/18;Комплект столовый с вышивкой "Роза" белый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" белый;100% лен;Скатертина 140*220 см- 1шт., серветки 35*35 см- 6 шт.;1290;42-31-255-000-18.jpg;;;;
42-42/255/010/03;Комплект столовый с вышивкой "Роза" серый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" серый;100% лен;Скатертина 140*220 см- 1шт., серветки 35*35 см- 6 шт.;1290;42-31-255-010-03.jpg;;;;
42-45/255/000/18;Комплект столовый с вышивкой "Роза" белый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" белый;100% лен;Скатертина 140*280 см- 1шт., серветки 35*35 см- 8 шт.;1490;42-31-255-000-18.jpg;;;;
42-45/255/010/03;Комплект столовый с вышивкой "Роза" серый;Домашний текстиль/Для кухни/Комплекты;Комплект столовый с вышивкой "Роза" серый;100% лен;Скатертина 140*280 см- 1шт., серветки 35*35 см- 8 шт.;1490;42-31-255-010-03.jpg;;;;
22-24/016/000/76;Скатерть с вышивкой “Ромашковое поле” белая;Домашний текстиль/Для кухни/Скатерти;Скатерть с вышивкой “Ромашковое поле” белая;100% лен;140*220 см  ;990;22-24-016-000-76.JPG;;;;
22-24/016/010/03;Скатерть с вышивкой “Ромашковое поле” серая;Домашний текстиль/Для кухни/Скатерти;Скатерть с вышивкой “Ромашковое поле” серая;100% лен;140*220 см  ;990;22-24-016-010-03.JPG;;;;
22-24/016/359/76;Скатерть с вышивкой “Ромашковое поле” синяя;Домашний текстиль/Для кухни/Скатерти;Скатерть с вышивкой “Ромашковое поле” синяя;100% лен;140*220 см  ;990;22-24-016-359-76.JPG;;;;
22-24/120/000/18;Скатерть с вышивкой “Маковое поле” белая;Домашний текстиль/Для кухни/Скатерти;Скатерть с вышивкой “Маковое поле” белая;100% лен;140*220 см  ;990;22-24-120-000-18.JPG;;;;
22-24/120/010/03;Скатерть с вышивкой “Маковое поле” серая;Домашний текстиль/Для кухни/Скатерти;Скатерть с вышивкой “Маковое поле” серая;100% лен;140*220 см  ;990;22-24-120-010-03.JPG;;;;
12-10/016/000/18;Дорожка с вышивкой “Ромашковое поле” белая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Ромашковое поле” белая;100% лен;40*135 см;299;12-10-016.JPG;;;;
12-10/016/010/03;Дорожка с вышивкой “Ромашковое поле” серая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Ромашковое поле” серая;100% лен;40*135 см;299;12-10-016-010-03.JPG;;;;
12-10/120/000/18;Дорожка с вышивкой “Маковое поле” белая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Маковое поле” белая;100% лен;40*135 см;299;12-10-120-000-18.JPG;;;;
12-10/120/010/03;Дорожка с вышивкой “Маковое поле” серая;Домашний текстиль/Для кухни/Полотенца;Дорожка с вышивкой “Маковое поле” серая;100% лен;40*135 см;299;12-10-120-03-10.JPG;;;;
