Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-42/068/265/76;Комплект с вышивкой "Ирис" лиловый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Ирис" лиловый;100% лен;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_256_76.jpg;8 березня;Квіти;;
42-42/068/598/76;Комплект с вышивкой "Ирис" бежевый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Ирис" бежевый;100% лен;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_598_76.jpg;8 березня;Квіти;;
42-42/068/949/76;Комплект с вышивкой "Ирис" зеленый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Ирис" зеленый;100% лен;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_949_76.jpg;8 березня;Квіти;;
42-42/162/000/18;Комплект с вышивкой "Гортензия”, белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Гортензия”, белый;100% лен;Скатертина 140х220 см - 1шт., серветки 35х35 см - 6 шт.;1100;42-31-162-000-76.jpg;8 березня;Квіти;;
42-42/162/010/03;Комплект с вышивкой "Гортензия”, серый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Гортензия”, серый;100% лен;Скатертина 140х220 см - 1шт., серветки 35х35 см - 6 шт.;1100;42-31-162-010-03.jpg;8 березня;Квіти;;
42-45/030/000/18;Комплект с вышивкой "Подсолнух" белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Подсолнух" белый;100% лен;140х250 см + 8 серв. 35х35 см;1190;42-31_030_000_18.jpg;Національна традиція;Соняхи;;
42-45/030/010/03;Комплект с вышивкой "Подсолнух" серый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Подсолнух" серый;100% лен;140х250 см + 8 серв. 35х35 см;1390;42-31_030_010_03.jpg;Національна традиція;Соняхи;;
42-45/041/000/18;Комплект с вышивкой "Калина" белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Калина" белый;100% лен;140х250 см + 8 серв. 35х35 см;1190;42-31_041_000_18.jpg;Національна традиція;Калина;;
42-45/041/010/03;Комплект с вышивкой "Калина" серый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Калина" серый;100% лен;140х250 см + 8 серв. 35х35 см;1390;42-35_041_010_03.jpg;Національна традиція;Калина;;
42-45/111/000/18;Комплект с вышивкой "Фиалка" белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Фиалка" белый;100% лен;140х250 см + 8 серв. 35х35 см;;42-31_111_000_18.jpg;8 березня;Квіти;;
42-45/119/000/18;Комплект с вышивкой "Маки" белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Маки" белый;100% лен;140х250 см + 8 серв. 35х35 см;1190;42-31_119_000_18.jpg;Національна традиція;Маки;;
42-45/119/010/03;Комплект с вышивкой "Маки" серый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Маки" серый;100% лен;140х250 см + 8 серв. 35х35 см;1390;42-35_119_010_03.jpg;Національна традиція;Маки;;
42-45/162/000/18;Комплект с вышивкой "Гортензия”, белый;Домашний текстиль/Для кухни/Комплекты;Комплект с вышивкой "Гортензия”, белый;100% лен;Скатертина 140х280 см - 1шт., серветки 35х35 см - 8 шт.;1290;42-31-162-000-76.jpg;8 березня;Квіти;;
