Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
42-35/030/010/03;Комплект з вишивкою "Сонях" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Сонях" сірий;100% льон;140х200 см + 6 серв. 35Х35 см;1190;42-31_030_010_03.jpg;Національна традиція;Соняхи;;
42-35/041/000/18;Комплект з вишивкою "Калина" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Калина" білий;100% льон;140х200 см + 6 серв. 35Х35 см;990;42-31_041_000_18.jpg;Національна традиція;Калина;;
42-35/041/010/03;Комплект з вишивкою "Калина" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Калина" сірий;100% льон;140х200 см + 6 серв. 35Х35 см;1190;42-35_041_010_03.jpg;Національна традиція;Калина;;
42-35/063/117/76;Комплект з вишивкою "Лілія жовта";Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Лілія жовта";100% льон;140х200 см + 6 серв. 45Х45 см;990;42-31_063_117_76.jpg;8 березня;Лілія;;
42-35/063/200/76;Комплект з вишивкою "Лілія помаранчева";Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Лілія помаранчева";100% льон;140х200 см + 6 серв. 45Х45 см;990;42-31_063_200_76.jpg;8 березня;Лілія;;
42-35/063/265/76;Комплект з вишивкою "Лілія лілова";Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Лілія лілова";100% льон;140х200 см + 6 серв. 45Х45 см;990;42-31_063_265_76.jpg;8 березня;Лілія;;
42-35/111/000/18;Комплект з вишивкою "Фіалка" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Фіалка" білий;100% льон;140х200 см + 6 серв. 35Х35 см;;42-31_111_000_18.jpg;8 березня;Квіти;;
42-35/119/000/18;Комплект з вишивкою "Маки" білий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Маки" білий;100% льон;140х200 см + 6 серв. 35Х35 см;990;42-31_119_000_18.jpg;Національна традиція;Маки;;
42-35/119/010/03;Комплект з вишивкою "Маки" сірий;Домашній текстиль/Для кухні/Комплекти;Комплект з вишивкою "Маки" сірий;100% льон;140х200 см + 6 серв. 35Х35 см;1190;42-35_119_010_03.jpg;Національна традиція;Маки;;
42-42/063/000/18;Комплект подарунковий “Лілія” ;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий з вишивкою “Лілія” ;100% льон;Скатертина 140х220 см - 1шт., серветки 35х35 см - 6 шт.;1290;42-42-063-00.jpg;8 березня;Квіти;;
42-42/068/265/76;Комплект подарунковий "Ірис" ліловий;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий "Ірис" ліловий;100% льон;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_256_76.jpg;8 березня;Квіти;;
42-42/068/598/76;Комплект подарунковий "Ірис" беж;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий "Ірис" беж;100% льон;1 скат. 140х220 см, 1 скат. 120х120 см, 6 серв. 35Х35 см;1290;42-36_068_598_76.jpg;8 березня;Квіти;;
